bridge_id,bridge_no,original_bridge_no,bridge_name,original_link,corrected_link,original_region,corrected_region,original_station,corrected_station,original_lon,original_lat,source_lon,source_lat,corrected_lon,corrected_lat,correction_distance_km,correction_method,audit_status,evidence,safe_attribute_defaults_applied
bridge-52,B025,B025,Karuma Bridge,C677_Link02,A006_Link09,Northern,Northern,Kitgum,Gulu,32.239732,2.242655,32.239796,2.242707,32.239732,2.242655,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-53,B557,X15,Kitekena,C510_Link01,C510_Link01,Southern,Southern,Kasese,Kasese,30.101702,0.321817,30.101757,0.322528,30.101702,0.321817,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-54,B026,B026,Magodes,C963_Link03,A007_Link02,North Eastern,Eastern,Moroto,Tororo,34.170111,0.827451,34.17004,0.82749,34.170111,0.827451,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-55,B770,X40,Manafwa,A007_Link02,A007_Link02,Eastern,Eastern,Tororo,Tororo,34.158517,0.939491,34.158741,0.939423,34.158517,0.939491,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-56,B028,B028,Namatala,C967_Link01,A007_Link04,North Eastern,Eastern,Moroto,Mbale,34.172568,1.108766,34.172459,1.10874,34.172568,1.108766,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-57,B875,B028,Kabobo - Mpcs,C419_Link01,C419_Link01,Southern,Southern,Mbarara,Mbarara,30.567479,-0.996403,30.50481,-0.98259,30.567479,-0.996403,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-58,B029,B029,Fika-Salaama,A007_Link04,A007_Link04,Eastern,Eastern,Mbale,Mbale,34.176178,1.072826,34.15733,1.1647,34.176178,1.072826,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-59,B879,B029,Nyabisheke - Mpcs,C357_Link01,C357_Link01,Southern,Southern,Ibanda,Ibanda,30.886008,0.126361,30.660252,0.096188,30.886008,0.126361,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-60,B030,B030,Awoja,M3_Link01,A007_Link05,Central,North Eastern,Kampala,Soroti,33.737146,1.667837,33.7374,1.66698,33.737146,1.667837,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-61,B399,X91,Ekyambu - Mpcc,C356_Link01,C356_Link01,Southern,Southern,Ibanda,Ibanda,30.607077,-0.108781,30.531191,-0.13323,30.607077,-0.108781,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-62,B031,B031,Tochi Bridge,A007_Link10,A007_Link10,Northern,Northern,Lira,Lira,32.342558,2.227382,32.341961,2.22715,32.342558,2.227382,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-63,B401,X92,Nakironget Irish Crossing,C960_Link01,C960_Link01,North Eastern,North Eastern,Moroto,Moroto,34.559105,1.953339,34.584389,1.86152,34.559105,1.953339,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-64,B032,B032,Albert Nile Bridge,A008_Link03,A008_Link03,Northern,Northern,Arua,Arua,31.507183,2.459826,31.507437,2.459358,31.507183,2.459826,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-65,B402,X93,Lolachat Irish Crossing/Splash,C960_Link01,C960_Link01,North Eastern,North Eastern,Moroto,Moroto,34.56141,1.92599,34.561699,1.92604,34.56141,1.92599,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-66,B033,B033,Achwera Bridge,A008_Link03,A008_Link03,Northern,Northern,Arua,Arua,31.188496,2.469222,31.172573,2.482735,31.188496,2.469222,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-67,B888,X94,Nabilatuk Irish Crossing,C960_Link01,C960_Link01,North Eastern,North Eastern,Moroto,Moroto,34.583719,1.861837,34.57732,2.05974,34.583719,1.861837,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-68,B034,B034,Akaba Bridge,A008_Link03,A008_Link03,Northern,Northern,Arua,Arua,31.168052,2.484182,31.141695,2.490772,31.168052,2.484182,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-69,B035,B035,Nyarwodho Bridge,A008_Link03,A008_Link03,Northern,Northern,Arua,Arua,31.149975,2.488967,31.128204,2.49496,31.149975,2.488967,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-70,B036,B036,Namthin Bridge,A008_Link04,A008_Link04,Northern,Northern,Arua,Arua,31.089761,2.515232,31.090334,2.511596,31.089761,2.515232,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-71,B037,B037,Ora Bridge,A008_Link04,A008_Link04,Northern,Northern,Arua,Arua,31.14069,2.6556,31.140558,2.656083,31.14069,2.6556,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-72,B038,B038,Aguyi Bridge,A008_Link04,A008_Link04,Northern,Northern,Arua,Arua,30.99522,2.824566,30.995136,2.829575,30.99522,2.824566,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-73,B039,B039,Ozuva Bridge,A008_Link04,A008_Link04,Northern,Northern,Arua,Arua,30.984172,2.859082,30.984146,2.867597,30.984172,2.859082,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-74,B040,B040,Wiki Bridge,A008_Link04,A008_Link04,Northern,Northern,Arua,Arua,30.981932,2.875703,30.9809,2.879874,30.981932,2.875703,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-75,B041,B041,Kayirila Bridge,A009_Link03,A009_Link03,Central,Central,Kampala,Kampala,31.917754,0.811415,31.909081,0.8206,31.917754,0.811415,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-76,B042,B042,Mpologoma,A012_Link01,A012_Link01,Eastern,Eastern,Jinja,Jinja,33.73775,0.966936,33.737881,0.96719,33.73775,0.966936,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-77,B043,B043,Rushango-Bridge,C356_Link01,C356_Link01,Southern,Southern,Ibanda,Ibanda,30.704986,-0.085684,30.705971,-0.08435,30.704986,-0.085684,0,Placed by bridge chainage along exact host road link geometry after latitude-sign-corrected-source-coordinate,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-78,B044,B044,Mpanga - Bridge,B150_Link03,B150_Link03,Southern,Southern,Ibanda,Ibanda,30.461584,0.100458,30.461651,0.100761,30.461584,0.100458,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-79,B047,B047,Katunguru Bridge,B152_Link03,B152_Link03,Southern,Southern,Mbarara,Mbarara,30.091465,-0.258862,30.04866,0.1251,30.091465,-0.258862,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-80,B048,B048,Muzizi,B202_Link01,B202_Link01,Western,Western,Fort Portal,Fort Portal,30.72323,0.746319,30.729679,0.87107,30.72323,0.746319,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-81,B049,B049,Nkusi,B202_Link03,B202_Link03,Western,Western,Hoima,Hoima,30.994662,1.129791,30.99474,1.12972,30.994662,1.129791,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-82,B050,B050,Rwere,B300_Link01,B300_Link01,Eastern,Eastern,Mbale,Mbale,34.270291,1.244165,34.19989,1.153,34.270291,1.244165,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
bridge-83,B051,B051,Sironko,B300_Link01,B300_Link01,Eastern,Eastern,Mbale,Mbale,34.223952,1.211618,34.257061,1.23629,34.223952,1.211618,0,Placed by bridge chainage along exact host road link geometry,Placed on exact national road host link,Host link retained because bridge chainage falls on the declared national road link,
